danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo_confidence,time_signature_confidence,key_confidence,mode,mode_confidence,al_type_compilation,al_type_single,exp_False,track_dur_sc,pop_sc,loud_sc,tempo_sc,time_sc,key_sc,follow_sc,target
0.888,0.879,0.174,0.0198,0.0,0.125,0.242,0.089,0.978,0.678,1,0.554,0,0,0,0.1311486702050524,0.5108695652173914,0.8354286148353525,0.6247795994631439,0.75,0.6363636363636364,0.009809520127134,1
0.708,0.726,0.0815,0.329,0.137,0.16,0.58,0.701,1.0,0.843,0,0.67,0,0,1,0.1418852779953014,0.5978260869565217,0.813817463633256,0.2892115581988999,0.75,1.0,0.0305194975428129,3
0.545,0.98,0.129,0.666,0.00709,0.0788,0.658,0.033,1.0,0.818,1,0.482,0,1,1,0.3817903651498013,0.7717391304347825,0.7728740172433437,0.4273730887654937,0.75,0.8181818181818182,0.0019066661026682,0
0.692,0.586,0.123,0.589,0.0,0.161,0.309,0.474,1.0,0.225,1,0.567,0,1,1,0.2458054177905392,0.4347826086956521,0.7676326484104978,0.1973078238901023,0.75,0.6363636363636364,0.0012274235731751,0
0.66,0.529,0.0762,0.0828,0.00144,0.099,0.318,0.627,1.0,0.297,1,0.528,0,1,1,0.2171430435917515,0.7826086956521738,0.6195070074822437,0.2369009710781863,0.75,0.6363636363636364,0.0033634722652023,0
0.68,0.487,0.0415,0.767,0.000332,0.133,0.26,0.231,0.983,0.419,0,0.524,0,0,1,0.2998056788189913,0.5326086956521738,0.6522845531543164,0.2103015868838653,0.75,0.5454545454545454,0.0130914549374254,3
0.411,0.482,0.0475,0.574,0.0,0.227,0.261,0.1,0.84,0.547,1,0.54,0,1,1,0.3307520519736651,0.6195652173913044,0.7114588476584753,0.7373746677544145,0.75,0.8181818181818182,0.0006949175667962,0
0.774,0.905,0.122,0.143,0.0,0.332,0.768,0.848,0.724,0.548,0,0.426,0,0,1,0.1830933321732069,0.6956521739130435,0.9260131414030156,0.3945038027316508,0.75,0.2727272727272727,0.1521909090508438,3
0.471,0.227,0.0539,0.873,0.0,0.159,0.3,0.425,0.706,0.29,1,0.379,0,0,1,0.2059133820586444,0.7065217391304348,0.5790193322951878,0.3741545830153424,0.75,0.0,0.0016715041952079,1
0.829,0.747,0.149,0.276,0.0,0.339,0.576,0.842,0.99,0.547,1,0.649,0,1,1,0.2087248760114852,0.7934782608695652,0.885031714079532,0.2501973736150951,0.75,0.6363636363636364,0.1052570213149157,0
0.724,0.546,0.0936,0.0717,0.0101,0.126,0.738,0.377,1.0,0.812,0,0.652,0,1,1,0.1802727747324458,0.4673913043478261,0.611531011432261,0.6319311034500906,0.75,0.7272727272727273,0.0044512744191524,2
0.635,0.389,0.0638,0.443,0.0,0.114,0.667,0.247,0.975,0.0,0,0.291,0,1,1,0.3195532062994867,0.6630434782608696,0.5206046564624558,0.131516618858391,0.75,0.4545454545454546,0.0008575835626015,2
0.578,0.471,0.0417,0.155,0.0,0.0779,0.233,0.369,1.0,0.583,0,0.373,0,1,0,0.1502327503697902,0.7608695652173914,0.7813057844961828,0.1775704623805889,0.75,0.2727272727272727,0.0036613888437442,2
0.736,0.727,0.0571,0.0584,1.91e-06,0.0976,0.644,0.119,0.994,0.617,0,0.662,0,0,1,0.2766249021143304,0.8804347826086956,0.8420752782103382,0.2239993157714677,0.75,0.4545454545454546,0.0553422321807425,3
0.774,0.917,0.049,0.259,0.0,0.355,0.891,0.908,1.0,0.658,1,0.64,0,1,0,0.1677506598219206,0.7826086956521738,0.9041741045994908,0.4605515934629858,0.75,0.0909090909090909,0.0030957062801514,0
0.853,0.514,0.489,0.0847,7.62e-06,0.108,0.312,0.078,1.0,0.853,1,0.631,0,0,0,0.2369830186490327,0.5543478260869565,0.6113790876979756,0.6579844206426485,0.75,0.0909090909090909,0.009809520127134,1
0.381,0.405,0.0325,0.629,0.0,0.418,0.273,0.225,0.796,0.553,1,0.572,0,0,1,0.2373292438875837,0.4999999999999999,0.7401724334384138,0.4667162293744572,0.75,0.0909090909090909,0.0005132779606203,1
0.571,0.312,0.0816,0.187,0.0,0.0951,0.191,0.402,0.257,0.639,0,0.685,0,1,1,0.1442508483424693,0.5434782608695652,0.4485928064111815,0.6185820679491566,0.75,0.5454545454545454,0.0003631519946575,2
0.739,0.682,0.0561,0.089,0.000259,0.526,0.638,0.9,1.0,0.333,1,0.38,0,0,1,0.2325691000319034,0.7173913043478262,0.7596946332940863,0.4604200110529224,0.75,0.9090909090909092,0.0161968479362813,1
0.711,0.576,0.326,0.417,0.000153,0.119,0.484,0.306,0.997,0.482,0,0.363,0,0,1,0.2860364279706488,0.4891304347826087,0.7842303163811766,0.2666057001500039,0.75,0.8181818181818182,0.0009162763544515,3
0.758,0.599,0.0877,0.57,1.13e-06,0.129,0.557,0.668,1.0,0.576,0,0.568,0,1,0,0.2587208880768004,0.75,0.7908769797561622,0.4602686912813495,0.75,0.3636363636363636,7.497665668901322e-05,2
0.77,0.677,0.0589,0.526,0.000483,0.128,0.942,0.644,1.0,0.688,1,0.427,0,1,1,0.3088437889729981,0.6847826086956521,0.7742793117854836,0.4998881549514461,0.75,0.9090909090909092,0.0023477843698251,0
0.455,0.297,0.0265,0.212,2.14e-06,0.121,0.243,0.145,0.852,0.598,1,0.692,0,1,1,0.39438136256852,0.6086956521739131,0.5766645144137641,0.1979788941814259,0.75,0.6363636363636364,0.0109065183029686,0
0.602,0.388,0.0536,0.334,3.7e-05,0.126,0.3,0.702,1.0,0.464,0,0.564,0,1,1,0.3049120479132226,0.7173913043478262,0.5588894375023736,0.5263625358562067,0.75,0.0,0.0817345787279203,2
0.627,0.56,0.0521,0.149,0.0,0.0922,0.719,0.102,0.977,0.583,1,0.663,0,1,1,0.3920719858464572,0.7065217391304348,0.638345550533632,0.7756651490828707,0.75,0.6363636363636364,0.0034677453394365,0
0.863,0.62,0.135,0.0508,0.00324,0.129,0.432,0.938,1.0,0.977,1,0.666,0,1,1,0.1667264856869399,0.7934782608695652,0.7461734209426867,0.2892839285244348,0.75,0.6363636363636364,0.0149402188153424,0
0.843,0.774,0.0612,0.00813,0.0,0.0668,0.391,0.424,1.0,0.16,0,0.414,0,1,0,0.190418443110299,0.5869565217391304,0.8665349994302858,0.2761980578436275,0.75,0.9090909090909092,0.0003434877739479,2
0.729,0.57,0.181,0.283,1.02e-06,0.0765,0.593,0.222,1.0,0.645,1,0.433,0,0,1,0.1533940949563502,0.5108695652173914,0.7877625432033117,0.6381615305665939,0.75,0.8181818181818182,0.0017066980615703,1
0.835,0.425,0.0367,0.538,0.0,0.08,0.779,0.571,1.0,0.531,1,0.535,0,0,1,0.2524562052263697,0.576086956521739,0.6839226708192486,0.2368483381141609,0.75,0.4545454545454546,0.0043612042917616,1
