artist,popularity,country,danceability,energy,acousticness,instrumentalness,valence,loudness,tempo_confidence,time_signature,time_signature_confidence,k_0,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False,al_total_tracks_log,track_dur_log,speechiness_log,liveness_log,tempo_log
Yzomandias,52,eslovaquia,0.702,0.574,0.12,0.0,0.564,-11.054,0.448,4,0.458,0,0,1,0,0,0,0,0,0,0,0,0.437,1,0.587,349928,0,0,0,2.772588722239781,5.2925507716536995,-0.9781661355922425,-2.3413259213104762,4.942156576124016
Asim Azhar,59,pakistán,0.716,0.613,0.627,0.000207,0.56,-7.421,0.297,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.549,1,0.658,1096279,0,1,1,0.0,5.2354467869556,-1.3019532126861397,-2.3217679124108197,4.604720084707706
Vũ.,60,vietnam,0.559,0.465,0.524,1.07e-06,0.324,-6.219,0.04,4,1.0,0,0,0,0,0,0,0,0,0,0,1,0.685,1,0.638,1511829,0,0,1,2.1972245773362196,5.6222108209623896,-3.725543438485528,-2.120263536200091,4.381539015807124
Billie Eilish,86,arabia_saudí,0.412,0.236,0.83,0.00653,0.119,-15.159,0.342,4,0.819,0,0,0,0,1,0,0,0,0,0,0,0.655,0,0.65,77023432,0,1,1,0.6931471805599453,5.639706068949067,-3.2728041668937564,-1.9173226922034008,4.943169826961724
Drake,89,eeuu,0.841,0.358,0.0201,0.0,0.329,-7.273,0.549,4,0.727,0,0,0,0,0,0,0,0,0,1,0,0.0,1,0.148,72390794,0,0,0,2.772588722239781,5.566598705933332,-0.5259392615760389,-0.941608539858445,5.062569716250803
Yzomandias,51,república_checa,0.765,0.658,0.498,2.48e-05,0.28,-9.744,0.701,4,0.885,0,0,1,0,0,0,0,0,0,0,0,0.157,1,0.408,349928,0,0,0,2.772588722239781,5.531557772633726,-2.1892564076870427,-0.4588658848352796,4.827689542533273
Mata,68,polonia,0.658,0.757,0.223,0.000132,0.372,-7.018,0.402,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.205,0,0.403,1695630,0,1,0,0.6931471805599453,5.169699596569004,-2.6255489795904663,-2.5549000216085354,4.976243967327918
vinni,62,noruega,0.662,0.561,0.075,0.0,0.36,-6.424,0.128,4,0.969,0,0,0,0,0,0,0,1,0,0,0,0.395,0,0.493,136402,0,1,1,0.0,5.0530368404674,-2.694147295933219,-1.5558971455060706,4.350097274879708
Cigarettes After Sex,83,arabia_saudí,0.369,0.467,0.0194,0.46,0.174,-9.018,0.5,4,1.0,0,0,0,0,0,1,0,0,0,0,0,0.513,1,0.526,6364737,0,0,1,2.302585092994046,5.670384244568817,-3.5972122655881127,-2.2164073967529934,4.54831407938988
Adie,75,filipinas,0.519,0.246,0.774,2.35e-06,0.108,-13.85,0.209,4,0.995,0,0,0,0,0,1,0,0,0,0,0,0.536,1,0.521,1496355,0,1,1,0.0,5.744028303224727,-3.228926160721702,-2.3580978029243043,4.501153211818503
