track_duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False
190.534,56,0.764,0.572,0.0514,0.134,0.0,0.114,0.374,-6.036,119.933,0.467,4,0.758,11,0.652,0,0.766,7552,0,1,1
148.81,55,0.888,0.879,0.174,0.0198,0.0,0.125,0.242,-4.817,154.965,0.089,4,0.978,7,0.678,1,0.554,1079604,0,0,0
154.733,63,0.708,0.726,0.0815,0.329,0.137,0.16,0.58,-5.386,103.96,0.701,4,1.0,11,0.843,0,0.67,3358687,0,0,1
287.08,79,0.545,0.98,0.129,0.666,0.00709,0.0788,0.658,-6.464,124.96,0.033,4,1.0,9,0.818,1,0.482,209914,0,1,1
212.062,48,0.692,0.586,0.123,0.589,0.0,0.161,0.309,-6.602,89.991,0.474,4,1.0,7,0.225,1,0.567,135165,0,1,1
196.25,80,0.66,0.529,0.0762,0.0828,0.00144,0.099,0.318,-10.502,96.009,0.627,4,1.0,7,0.297,1,0.528,370232,0,1,1
241.852,57,0.68,0.487,0.0415,0.767,0.000332,0.133,0.26,-9.639,91.966,0.231,4,0.983,6,0.419,0,0.524,1440773,0,0,1
258.924,65,0.411,0.482,0.0475,0.574,0.0,0.227,0.261,-8.081,172.079,0.1,4,0.84,9,0.547,1,0.54,76564,0,1,1
177.466,72,0.774,0.905,0.122,0.143,0.0,0.332,0.768,-2.432,119.964,0.848,4,0.724,3,0.548,0,0.426,16748332,0,0,1
190.055,73,0.471,0.227,0.0539,0.873,0.0,0.159,0.3,-11.568,116.871,0.425,4,0.706,0,0.29,1,0.379,184035,0,0,1
191.606,81,0.829,0.747,0.149,0.276,0.0,0.339,0.576,-3.511,98.03,0.842,4,0.99,7,0.547,1,0.649,11583371,0,1,1
175.91,51,0.724,0.546,0.0936,0.0717,0.0101,0.126,0.738,-10.712,156.052,0.377,4,1.0,8,0.812,0,0.652,489942,0,1,1
252.746,69,0.635,0.389,0.0638,0.443,0.0,0.114,0.667,-13.106,79.991,0.247,4,0.975,5,0.0,0,0.291,94465,0,1,1
159.338,78,0.578,0.471,0.0417,0.155,0.0,0.0779,0.233,-6.242,86.991,0.369,4,1.0,3,0.583,0,0.373,403017,0,1,0
229.064,89,0.736,0.727,0.0571,0.0584,1.91e-06,0.0976,0.644,-4.642,94.048,0.119,4,0.994,5,0.617,0,0.662,6090369,0,0,1
