track_dur_log,popularity,danceability,energy,speech_log,acousticness,instrumentalness,liveness_log,valence,loudness,tempo_log,tempo_confidence,time_signature,time_signature_confidence,k_0,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,key_confidence,mode,mode_confidence,artist_followers,al_type_compilation,al_type_single,exp_False
5.598421958998375,78,0.557,0.794,-1.6094379124341003,0.179,0.0,-2.24431618487007,0.432,-5.698,4.514873418006933,0.479,4,0.997,0,0,0,0,0,0,0,0,0,0,0,0.563,0,0.628,15498729,0,0,1
5.21422898616575,79,0.885,0.834,-3.233989462678249,0.403,3.22e-05,-2.4476108650443034,0.84,-3.374,4.820426716360479,0.889,4,1.0,0,0,0,1,0,0,0,0,0,0,0,0.316,1,0.45,526138,0,1,0
5.404090796944837,59,0.704,0.542,-3.4834926243889854,0.476,0.000196,-1.9589953886039688,0.386,-4.663,4.574772832260503,0.523,4,0.992,0,0,1,0,0,0,0,0,0,0,0,0.72,0,0.682,139423,0,1,1
5.488669095037255,62,0.898,0.467,-2.505926017012076,0.563,0.0,-2.308603165319609,0.619,-7.238,4.8208620422571515,0.416,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.504,1,0.789,318304,0,1,1
5.030176449303092,75,0.832,0.59,-1.3019532126861397,0.446,1.43e-06,-2.0955709236097197,0.596,-7.168,4.989799733508117,0.602,4,0.992,0,0,0,0,0,0,0,0,1,0,0,0.744,0,0.58,2906636,0,0,0
5.061011501421323,75,0.854,0.697,-1.575036485716768,0.387,7.97e-05,-2.2926347621408776,0.499,-7.387,4.654226981274954,0.734,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.711,1,0.775,1666894,0,0,0
5.356586274672012,61,0.947,0.732,-1.0356374895067213,0.15,0.0,-2.0099154790312257,0.673,-5.764,4.788183170357565,0.098,4,1.0,0,0,0,0,0,0,0,0,0,1,0,0.569,1,0.435,862342,0,0,1
5.197966503820693,74,0.588,0.744,-1.1270117631898076,0.0153,0.0,-2.5996443272584235,0.55,-3.927,4.868042013931138,0.246,4,1.0,0,1,0,0,0,0,0,0,0,0,0,0.278,0,0.465,41132,0,1,0
5.295042008414116,74,0.756,0.736,-3.116770601931047,0.0597,4.98e-06,-3.2887619523323672,0.612,-7.719,4.753460872400233,0.791,4,0.784,0,0,0,0,0,0,0,0,0,0,0,0.009,1,0.196,4286630,0,0,0
5.09650713317022,80,0.388,0.496,-3.506557897319982,0.317,0.000182,-1.8773173575897015,0.34,-8.707,5.214745522124058,0.037,4,0.985,0,1,0,0,0,0,0,0,0,0,0,0.935,1,0.675,387762,0,1,1
5.607418406373117,76,0.51,0.917,-2.460409178187613,0.0054,0.000133,-0.9263410677276565,0.313,-4.806,4.318793927257018,0.332,4,0.994,0,0,0,0,1,0,0,0,0,0,0,0.442,0,0.341,7768441,0,0,1
5.17578808526642,85,0.787,0.546,-2.933696882634538,0.305,4.55e-05,-2.1037342342488805,0.222,-7.094,4.5331369830882595,0.53,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.687,0,0.729,65270837,0,0,1
5.455970477126277,44,0.58,0.778,-2.3197312518290163,0.189,1.66e-05,-2.2164073967529934,0.277,-6.365,5.214702034645728,0.057,4,0.976,0,0,0,0,0,0,0,0,1,0,0,0.531,1,0.675,161166,0,0,0
5.279165127703427,55,0.854,0.367,-1.1147416705979933,0.421,7.73e-05,-2.4046178185591973,0.349,-14.477,4.604970165985424,0.123,4,0.864,0,0,0,1,0,0,0,0,0,0,0,0.387,0,0.448,153761,0,1,0
5.379855878025984,74,0.776,0.565,-2.2537949288246137,0.36,8.81e-05,-1.1776554960085626,0.53,-10.609,4.673155883779185,0.748,4,1.0,0,0,0,0,0,0,0,1,0,0,0,0.586,1,0.699,4807656,0,0,0
5.303289982574557,77,0.528,0.855,-2.3507254683219805,7.38e-05,1.81e-06,-1.2694006096483912,0.549,-5.229,4.990344147493948,0.903,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.169,1,0.336,1358129,0,1,1
5.571142113516624,69,0.448,0.309,-3.564893474332945,0.845,0.0,-2.0402208285265546,0.385,-9.328,4.9414781233986425,0.133,4,0.995,0,0,0,0,0,0,0,0,0,1,0,0.608,1,0.682,1336064,0,0,1
5.175997178565177,85,0.68,0.922,-2.111964733385396,0.103,0.0,-2.4338333796039997,0.799,-1.215,4.828425731030769,0.817,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.457,1,0.548,1753295,0,1,1
5.298317366548036,51,0.826,0.618,-1.287354413264987,0.0189,3e-06,-2.2256240518579173,0.361,-6.6,4.989758890508602,0.316,4,1.0,0,0,0,0,0,0,0,0,1,0,0,0.603,1,0.659,6343,0,0,0
5.57762950865562,68,0.544,0.582,-3.283414346005772,0.409,4.47e-06,-1.0729445419195318,0.359,-6.846,5.088059191061059,0.019,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0.585,1,0.707,742757,0,1,1
5.19295685089021,49,0.652,0.545,-2.320749063621717,0.0431,0.0,-1.903808973036678,0.524,-8.122,4.820426716360479,0.808,4,1.0,1,0,0,0,0,0,0,0,0,0,0,0.605,1,0.562,341960,0,1,1
5.554113957137246,93,0.647,0.686,-3.18689277901515,0.08,1.34e-06,-0.6386589952758756,0.268,-5.745,4.381126229430717,0.161,4,0.988,0,0,0,1,0,0,0,0,0,0,0,0.304,0,0.333,65270837,0,0,1
